coin,category,included_in_fiat_study,status_reason
BUSD,Fiat-Backed / Fiat-Collateralized,True,Included (Final Core Study Universe)
CRV,Non-Stable Governance / Auxiliary,False,Excluded (Stage 1: Floating Governance Asset)
DAI,Fiat-Backed / Fiat-Collateralized,True,Included (Final Core Study Universe)
FDUSD,Unbacked Algorithmic / Crypto Synthetic,False,Excluded (Stage 2: Non-Fiat / Algorithmic Mechanism)
FEI,Unbacked Algorithmic / Crypto Synthetic,False,Excluded (Stage 2: Non-Fiat / Algorithmic Mechanism)
FRAX,Unbacked Algorithmic / Crypto Synthetic,False,Excluded (Stage 2: Non-Fiat / Algorithmic Mechanism)
GHO,Unbacked Algorithmic / Crypto Synthetic,False,Excluded (Stage 2: Non-Fiat / Algorithmic Mechanism)
GUSD,Unbacked Algorithmic / Crypto Synthetic,False,Excluded (Stage 2: Non-Fiat / Algorithmic Mechanism)
IRON,Unbacked Algorithmic / Crypto Synthetic,False,Excluded (Stage 2: Non-Fiat / Algorithmic Mechanism)
LUSD,Unbacked Algorithmic / Crypto Synthetic,False,Excluded (Stage 2: Non-Fiat / Algorithmic Mechanism)
MIM,Unbacked Algorithmic / Crypto Synthetic,False,Excluded (Stage 2: Non-Fiat / Algorithmic Mechanism)
MKR,Non-Stable Governance / Auxiliary,False,Excluded (Stage 1: Floating Governance Asset)
PAX,Fiat-Backed / Fiat-Collateralized,True,Included (Final Core Study Universe)
PYUSD,Unbacked Algorithmic / Crypto Synthetic,False,Excluded (Stage 2: Non-Fiat / Algorithmic Mechanism)
TUSD,Fiat-Backed / Fiat-Collateralized,True,Included (Final Core Study Universe)
USDC,Fiat-Backed / Fiat-Collateralized,True,Included (Final Core Study Universe)
USDD,Unbacked Algorithmic / Crypto Synthetic,False,Excluded (Stage 2: Non-Fiat / Algorithmic Mechanism)
USDN,Unbacked Algorithmic / Crypto Synthetic,False,Excluded (Stage 2: Non-Fiat / Algorithmic Mechanism)
USDS,Unbacked Algorithmic / Crypto Synthetic,False,Excluded (Stage 2: Non-Fiat / Algorithmic Mechanism)
USDT,Fiat-Backed / Fiat-Collateralized,True,Included (Final Core Study Universe)
USDe,Unbacked Algorithmic / Crypto Synthetic,False,Excluded (Stage 2: Non-Fiat / Algorithmic Mechanism)
UST,Unbacked Algorithmic / Crypto Synthetic,False,Excluded (Stage 2: Non-Fiat / Algorithmic Mechanism)
WLUNA,Non-Stable Governance / Auxiliary,False,Excluded (Stage 1: Floating Governance Asset)
crvUSD,Unbacked Algorithmic / Crypto Synthetic,False,Excluded (Stage 2: Non-Fiat / Algorithmic Mechanism)
