threshold_pct,min_hours,total_episodes,ep_USDT,ep_USDC,ep_BUSD,ep_DAI,ep_TUSD,ep_PAX
0.1,1,2082,405,447,294,372,296,268
0.1,2,1815,273,339,269,289,347,298
0.1,3,1248,175,198,179,171,301,224
0.1,4,936,146,132,127,116,223,192
0.1,6,680,109,100,84,62,182,143
0.1,8,549,93,77,58,41,158,122
0.1,12,388,77,55,42,25,119,70
0.1,24,216,56,32,20,11,68,29
0.1,48,103,22,12,5,5,47,12
0.2,1,2334,356,470,331,378,437,362
0.2,2,1183,137,196,182,137,324,207
0.2,3,744,94,117,108,68,228,129
0.2,4,538,76,79,63,41,168,111
0.2,6,403,62,63,35,33,130,80
0.2,8,320,46,47,30,22,115,60
0.2,12,215,35,32,23,11,79,35
0.2,24,126,28,16,12,6,46,18
0.2,48,55,11,6,2,4,24,8
0.3,1,1898,226,346,297,246,446,337
0.3,2,753,85,119,111,65,239,134
0.3,3,447,53,70,54,39,155,76
0.3,4,302,39,45,26,25,105,62
0.3,6,233,28,40,17,21,80,47
0.3,8,185,24,26,16,16,67,36
0.3,12,135,25,16,10,8,52,24
0.3,24,84,20,9,5,6,31,13
0.3,48,39,7,3,1,4,19,5
0.5,1,1082,109,187,207,108,282,189
0.5,2,326,44,46,40,31,105,60
0.5,3,175,25,24,14,17,56,39
0.5,4,132,20,20,9,12,40,31
0.5,6,103,15,15,7,9,34,23
0.5,8,79,14,11,4,5,28,17
0.5,12,60,13,9,2,5,20,11
0.5,24,38,9,2,2,5,14,6
0.5,48,24,5,1,0,5,10,3
0.75,1,570,65,104,101,56,147,97
0.75,2,161,26,20,18,18,45,34
0.75,3,90,17,14,7,7,23,22
0.75,4,61,13,10,3,7,16,12
0.75,6,44,9,5,2,4,15,9
0.75,8,33,6,4,1,4,11,7
0.75,12,28,6,1,1,5,11,4
0.75,24,26,6,1,1,6,10,2
0.75,48,13,3,0,0,5,4,1
1.0,1,344,48,56,66,30,87,57
1.0,2,71,13,10,5,8,21,14
1.0,3,39,7,5,2,6,12,7
1.0,4,30,6,3,2,5,7,7
1.0,6,22,4,2,1,4,6,5
1.0,8,19,4,1,1,4,5,4
1.0,12,17,4,1,1,4,6,1
1.0,24,18,4,1,0,6,7,0
1.0,48,7,1,0,0,2,4,0
1.5,1,145,25,21,22,15,40,22
1.5,2,31,7,4,1,6,9,4
1.5,3,21,4,2,1,4,7,3
1.5,4,20,4,2,1,4,7,2
1.5,6,17,3,2,0,5,5,2
1.5,8,15,3,1,0,6,4,1
1.5,12,16,2,1,0,6,6,1
1.5,24,10,1,1,0,6,2,0
1.5,48,2,0,0,0,1,1,0
2.0,1,76,13,12,9,11,21,10
2.0,2,22,3,2,1,8,6,2
2.0,3,19,1,2,1,8,5,2
2.0,4,14,1,2,0,8,1,2
2.0,6,16,1,2,0,10,1,2
2.0,8,13,1,1,0,9,1,1
2.0,12,13,1,1,0,10,1,0
2.0,24,10,1,1,0,6,2,0
2.0,48,1,0,0,0,0,1,0
3.0,1,32,7,3,3,10,6,3
3.0,2,13,0,2,0,9,1,1
3.0,3,13,0,2,0,9,1,1
3.0,4,12,0,2,0,8,1,1
3.0,6,11,0,1,0,8,1,1
3.0,8,9,0,1,0,7,1,0
3.0,12,6,0,1,0,5,0,0
3.0,24,2,0,0,0,2,0,0
3.0,48,0,0,0,0,0,0,0
5.0,1,12,0,2,2,5,1,2
5.0,2,5,0,1,0,4,0,0
5.0,3,4,0,1,0,3,0,0
5.0,4,3,0,1,0,2,0,0
5.0,6,3,0,1,0,2,0,0
5.0,8,3,0,1,0,2,0,0
5.0,12,2,0,1,0,1,0,0
5.0,24,0,0,0,0,0,0,0
5.0,48,0,0,0,0,0,0,0
