timestamp,value,value_classification
2022-04-01 00:00:00+00:00,50,Neutral
2022-04-02 00:00:00+00:00,52,Neutral
2022-04-03 00:00:00+00:00,48,Neutral
2022-04-04 00:00:00+00:00,52,Neutral
2022-04-05 00:00:00+00:00,53,Neutral
2022-04-06 00:00:00+00:00,48,Neutral
2022-04-07 00:00:00+00:00,34,Fear
2022-04-08 00:00:00+00:00,37,Fear
2022-04-09 00:00:00+00:00,30,Fear
2022-04-10 00:00:00+00:00,34,Fear
2022-04-11 00:00:00+00:00,32,Fear
2022-04-12 00:00:00+00:00,20,Extreme Fear
2022-04-13 00:00:00+00:00,25,Extreme Fear
2022-04-14 00:00:00+00:00,28,Fear
2022-04-15 00:00:00+00:00,22,Extreme Fear
2022-04-16 00:00:00+00:00,28,Fear
2022-04-17 00:00:00+00:00,28,Fear
2022-04-18 00:00:00+00:00,24,Extreme Fear
2022-04-19 00:00:00+00:00,27,Fear
2022-04-20 00:00:00+00:00,27,Fear
2022-04-21 00:00:00+00:00,27,Fear
2022-04-22 00:00:00+00:00,26,Fear
2022-04-23 00:00:00+00:00,24,Extreme Fear
2022-04-24 00:00:00+00:00,24,Extreme Fear
2022-04-25 00:00:00+00:00,23,Extreme Fear
2022-04-26 00:00:00+00:00,27,Fear
2022-04-27 00:00:00+00:00,21,Extreme Fear
2022-04-28 00:00:00+00:00,24,Extreme Fear
2022-04-29 00:00:00+00:00,23,Extreme Fear
2022-04-30 00:00:00+00:00,20,Extreme Fear
2022-05-01 00:00:00+00:00,22,Extreme Fear
2022-05-02 00:00:00+00:00,28,Fear
2022-05-03 00:00:00+00:00,27,Fear
2022-05-04 00:00:00+00:00,21,Extreme Fear
2022-05-05 00:00:00+00:00,27,Fear
2022-05-06 00:00:00+00:00,22,Extreme Fear
2022-05-07 00:00:00+00:00,23,Extreme Fear
2022-05-08 00:00:00+00:00,18,Extreme Fear
2022-05-09 00:00:00+00:00,11,Extreme Fear
2022-05-10 00:00:00+00:00,10,Extreme Fear
2022-05-11 00:00:00+00:00,12,Extreme Fear
2022-05-12 00:00:00+00:00,12,Extreme Fear
2022-05-13 00:00:00+00:00,10,Extreme Fear
2022-05-14 00:00:00+00:00,9,Extreme Fear
2022-05-15 00:00:00+00:00,10,Extreme Fear
2022-05-16 00:00:00+00:00,14,Extreme Fear
2022-05-17 00:00:00+00:00,8,Extreme Fear
2022-05-18 00:00:00+00:00,12,Extreme Fear
2022-05-19 00:00:00+00:00,13,Extreme Fear
2022-05-20 00:00:00+00:00,13,Extreme Fear
2022-05-21 00:00:00+00:00,13,Extreme Fear
2022-05-22 00:00:00+00:00,14,Extreme Fear
2022-05-23 00:00:00+00:00,10,Extreme Fear
2022-05-24 00:00:00+00:00,12,Extreme Fear
2022-05-25 00:00:00+00:00,11,Extreme Fear
2022-05-26 00:00:00+00:00,12,Extreme Fear
2022-05-27 00:00:00+00:00,12,Extreme Fear
2022-05-28 00:00:00+00:00,13,Extreme Fear
2022-05-29 00:00:00+00:00,14,Extreme Fear
2022-05-30 00:00:00+00:00,10,Extreme Fear
2022-05-31 00:00:00+00:00,16,Extreme Fear
2022-06-01 00:00:00+00:00,17,Extreme Fear
2022-06-02 00:00:00+00:00,13,Extreme Fear
2022-06-03 00:00:00+00:00,10,Extreme Fear
2022-06-04 00:00:00+00:00,14,Extreme Fear
2022-06-05 00:00:00+00:00,10,Extreme Fear
2022-06-06 00:00:00+00:00,13,Extreme Fear
2022-06-07 00:00:00+00:00,15,Extreme Fear
2022-06-08 00:00:00+00:00,17,Extreme Fear
2022-06-09 00:00:00+00:00,11,Extreme Fear
2022-06-10 00:00:00+00:00,13,Extreme Fear
2022-06-11 00:00:00+00:00,12,Extreme Fear
2022-06-12 00:00:00+00:00,14,Extreme Fear
2022-06-13 00:00:00+00:00,11,Extreme Fear
2022-06-14 00:00:00+00:00,8,Extreme Fear
2022-06-15 00:00:00+00:00,7,Extreme Fear
2022-06-16 00:00:00+00:00,7,Extreme Fear
2022-06-17 00:00:00+00:00,9,Extreme Fear
2022-06-18 00:00:00+00:00,6,Extreme Fear
2022-06-19 00:00:00+00:00,6,Extreme Fear
2022-06-20 00:00:00+00:00,9,Extreme Fear
2022-06-21 00:00:00+00:00,9,Extreme Fear
2022-06-22 00:00:00+00:00,11,Extreme Fear
2022-06-23 00:00:00+00:00,11,Extreme Fear
2022-06-24 00:00:00+00:00,11,Extreme Fear
2022-06-25 00:00:00+00:00,14,Extreme Fear
2022-06-26 00:00:00+00:00,14,Extreme Fear
2022-06-27 00:00:00+00:00,12,Extreme Fear
2022-06-28 00:00:00+00:00,10,Extreme Fear
2022-06-29 00:00:00+00:00,13,Extreme Fear
2022-06-30 00:00:00+00:00,11,Extreme Fear
