Model,Coin,pub_accuracy,pub_precision,pub_recall,pub_f1,ours_accuracy,ours_precision,ours_recall,ours_f1,ours_roc_auc,ours_pr_auc,n_train_pos,note
Logistic Regression,USDT,0.829,0.773,0.405,0.531,0.8761904761904762,0.0384615384615384,0.5,0.0714285714285714,0.6730769230769231,0.2572992700729927,4,fitted
Random Forest,USDT,0.886,0.806,0.69,0.744,0.9857142857142858,0.0,0.0,0.0,0.9879807692307692,0.3666666666666667,4,fitted
XGBoost,USDT,0.897,0.8,0.762,0.78,0.9904761904761904,0.5,1.0,0.6666666666666666,0.9951923076923076,0.5833333333333333,4,fitted
Logistic Regression,USDC,0.928,0.167,0.5,0.25,0.986842105263158,0.0,0.0,0.0,0.9801324503311258,0.25,1,fitted
Random Forest,USDC,0.994,1.0,0.75,0.857,0.993421052631579,0.0,0.0,0.0,0.4735099337748344,0.006578947368421,1,fitted
XGBoost,USDC,0.982,0.6,0.75,0.667,0.993421052631579,0.0,0.0,0.0,0.5,0.006578947368421,1,fitted
Logistic Regression,BUSD,0.869,0.783,0.735,0.758,0.9073170731707316,0.1,0.6666666666666666,0.1739130434782608,0.7920792079207921,0.4366359447004608,7,fitted
Random Forest,BUSD,0.891,0.788,0.837,0.812,0.975609756097561,0.375,1.0,0.5454545454545454,0.9851485148514852,0.3873015873015873,7,fitted
XGBoost,BUSD,0.88,0.792,0.776,0.784,0.9707317073170731,0.3333333333333333,1.0,0.5,0.9752475247524752,0.2777777777777778,7,fitted
Logistic Regression,DAI,0.929,0.214,0.75,0.333,0.9904761904761904,0.0,0.0,0.0,0.985645933014354,0.25,1,fitted
Random Forest,DAI,0.982,0.667,0.5,0.571,0.9952380952380953,0.0,0.0,0.0,0.4976076555023923,0.0047619047619047,1,fitted
XGBoost,DAI,0.982,0.667,0.5,0.571,0.9761904761904762,0.0,0.0,0.0,0.4904306220095694,0.0047619047619047,1,fitted
