Model,Coin,Split,Threshold,Window,accuracy,precision,recall,f1,roc_auc,pr_auc,note,n_train,n_train_pos,n_test,n_test_pos,pub_accuracy,pub_precision,pub_recall,pub_f1
Logistic Regression,USDT,random,dynamic,full,0.8761904761904762,0.038461538461538464,0.5,0.07142857142857142,0.6730769230769231,0.2572992700729927,fitted,489,4,210,2,0.829,0.773,0.405,0.531
Random Forest,USDT,random,dynamic,full,0.9857142857142858,0.0,0.0,0.0,0.9879807692307692,0.3666666666666667,fitted,489,4,210,2,0.886,0.806,0.69,0.744
XGBoost,USDT,random,dynamic,full,0.9904761904761905,0.5,1.0,0.6666666666666666,0.9951923076923077,0.5833333333333333,fitted,489,4,210,2,0.897,0.8,0.762,0.78
Logistic Regression,USDT,chrono_2023,dynamic,full,0.9065934065934066,0.058823529411764705,0.5,0.10526315789473684,0.7791666666666667,0.362364688316536,fitted,335,2,364,4,0.829,0.773,0.405,0.531
Random Forest,USDT,chrono_2023,dynamic,full,0.989010989010989,0.0,0.0,0.0,0.9524305555555556,0.225,fitted,335,2,364,4,0.886,0.806,0.69,0.744
XGBoost,USDT,chrono_2023,dynamic,full,0.989010989010989,0.5,0.25,0.3333333333333333,0.6135416666666667,0.25824175824175827,fitted,335,2,364,4,0.897,0.8,0.762,0.78
Logistic Regression,USDT,chrono_may,dynamic,may,0.9814814814814815,0.0,0.0,0.0,0.5,0.018518518518518517,no positives in train,37,0,54,1,0.829,0.773,0.405,0.531
Random Forest,USDT,chrono_may,dynamic,may,0.9814814814814815,0.0,0.0,0.0,0.5,0.018518518518518517,no positives in train,37,0,54,1,0.886,0.806,0.69,0.744
XGBoost,USDT,chrono_may,dynamic,may,0.9814814814814815,0.0,0.0,0.0,0.5,0.018518518518518517,no positives in train,37,0,54,1,0.897,0.8,0.762,0.78
Logistic Regression,USDC,random,dynamic,full,0.9868421052631579,0.0,0.0,0.0,0.9801324503311258,0.25,fitted,352,1,152,1,0.928,0.167,0.5,0.25
Random Forest,USDC,random,dynamic,full,0.993421052631579,0.0,0.0,0.0,0.4735099337748344,0.006578947368421052,fitted,352,1,152,1,0.994,1.0,0.75,0.857
XGBoost,USDC,random,dynamic,full,0.993421052631579,0.0,0.0,0.0,0.5,0.006578947368421052,fitted,352,1,152,1,0.982,0.6,0.75,0.667
Logistic Regression,USDC,chrono_2023,dynamic,full,0.9849056603773585,0.0,0.0,0.0,,,fitted,239,2,265,0,0.928,0.167,0.5,0.25
Random Forest,USDC,chrono_2023,dynamic,full,1.0,0.0,0.0,0.0,,,fitted,239,2,265,0,0.994,1.0,0.75,0.857
XGBoost,USDC,chrono_2023,dynamic,full,0.9886792452830189,0.0,0.0,0.0,,,fitted,239,2,265,0,0.982,0.6,0.75,0.667
Logistic Regression,USDC,chrono_may,dynamic,may,0.9629629629629629,0.0,0.0,0.0,0.5,0.037037037037037035,no positives in train,37,0,54,2,0.928,0.167,0.5,0.25
Random Forest,USDC,chrono_may,dynamic,may,0.9629629629629629,0.0,0.0,0.0,0.5,0.037037037037037035,no positives in train,37,0,54,2,0.994,1.0,0.75,0.857
XGBoost,USDC,chrono_may,dynamic,may,0.9629629629629629,0.0,0.0,0.0,0.5,0.037037037037037035,no positives in train,37,0,54,2,0.982,0.6,0.75,0.667
Logistic Regression,BUSD,random,dynamic,full,0.9073170731707317,0.1,0.6666666666666666,0.17391304347826086,0.7920792079207921,0.4366359447004608,fitted,478,7,205,3,0.869,0.783,0.735,0.758
Random Forest,BUSD,random,dynamic,full,0.975609756097561,0.375,1.0,0.5454545454545454,0.9851485148514851,0.3873015873015873,fitted,478,7,205,3,0.891,0.788,0.837,0.812
XGBoost,BUSD,random,dynamic,full,0.9707317073170731,0.3333333333333333,1.0,0.5,0.9752475247524752,0.2777777777777778,fitted,478,7,205,3,0.88,0.792,0.776,0.784
Logistic Regression,BUSD,chrono_2023,dynamic,full,0.9741379310344828,0.0,0.0,0.0,0.7970845481049562,0.0826955266955267,fitted,335,5,348,5,0.869,0.783,0.735,0.758
Random Forest,BUSD,chrono_2023,dynamic,full,0.985632183908046,0.0,0.0,0.0,0.956268221574344,0.20416666666666666,fitted,335,5,348,5,0.891,0.788,0.837,0.812
XGBoost,BUSD,chrono_2023,dynamic,full,0.985632183908046,0.0,0.0,0.0,0.792128279883382,0.1337465790914067,fitted,335,5,348,5,0.88,0.792,0.776,0.784
Logistic Regression,BUSD,chrono_may,dynamic,may,0.9444444444444444,0.0,0.0,0.0,0.5,0.05555555555555555,no positives in train,37,0,54,3,0.869,0.783,0.735,0.758
Random Forest,BUSD,chrono_may,dynamic,may,0.9444444444444444,0.0,0.0,0.0,0.5,0.05555555555555555,no positives in train,37,0,54,3,0.891,0.788,0.837,0.812
XGBoost,BUSD,chrono_may,dynamic,may,0.9444444444444444,0.0,0.0,0.0,0.5,0.05555555555555555,no positives in train,37,0,54,3,0.88,0.792,0.776,0.784
Logistic Regression,DAI,random,dynamic,full,0.9904761904761905,0.0,0.0,0.0,0.9856459330143541,0.25,fitted,489,1,210,1,0.929,0.214,0.75,0.333
Random Forest,DAI,random,dynamic,full,0.9952380952380953,0.0,0.0,0.0,0.49760765550239233,0.004761904761904762,fitted,489,1,210,1,0.982,0.667,0.5,0.571
XGBoost,DAI,random,dynamic,full,0.9761904761904762,0.0,0.0,0.0,0.4904306220095694,0.004761904761904762,fitted,489,1,210,1,0.982,0.667,0.5,0.571
Logistic Regression,DAI,chrono_2023,dynamic,full,0.9945054945054945,0.0,0.0,0.0,0.5,0.005494505494505495,no positives in train,335,0,364,2,0.929,0.214,0.75,0.333
Random Forest,DAI,chrono_2023,dynamic,full,0.9945054945054945,0.0,0.0,0.0,0.5,0.005494505494505495,no positives in train,335,0,364,2,0.982,0.667,0.5,0.571
XGBoost,DAI,chrono_2023,dynamic,full,0.9945054945054945,0.0,0.0,0.0,0.5,0.005494505494505495,no positives in train,335,0,364,2,0.982,0.667,0.5,0.571
Logistic Regression,DAI,chrono_may,dynamic,may,1.0,0.0,0.0,0.0,,,no positives in train,37,0,54,0,0.929,0.214,0.75,0.333
Random Forest,DAI,chrono_may,dynamic,may,1.0,0.0,0.0,0.0,,,no positives in train,37,0,54,0,0.982,0.667,0.5,0.571
XGBoost,DAI,chrono_may,dynamic,may,1.0,0.0,0.0,0.0,,,no positives in train,37,0,54,0,0.982,0.667,0.5,0.571
Logistic Regression,POOLED,random,dynamic,full,0.9059278350515464,0.05333333333333334,0.6666666666666666,0.09876543209876543,0.883982683982684,0.2550340311563221,fitted,1809,14,776,6,,,,
Random Forest,POOLED,random,dynamic,full,0.9871134020618557,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.9896103896103896,0.530505485893417,fitted,1809,14,776,6,,,,
XGBoost,POOLED,random,dynamic,full,0.9948453608247423,0.625,0.8333333333333334,0.7142857142857143,0.9958874458874459,0.7520363408521303,fitted,1809,14,776,6,,,,
Logistic Regression,POOLED,chrono_2023,dynamic,full,0.9724086502609992,0.11764705882352941,0.36363636363636365,0.17777777777777778,0.8155502392344498,0.12221722558150276,fitted,1244,9,1341,11,,,,
Random Forest,POOLED,chrono_2023,dynamic,full,0.9917971662938105,0.0,0.0,0.0,0.9926520847573479,0.4642339576357172,fitted,1244,9,1341,11,,,,
XGBoost,POOLED,chrono_2023,dynamic,full,0.9917971662938105,0.0,0.0,0.0,0.8922761449077239,0.23390307268153365,fitted,1244,9,1341,11,,,,
Logistic Regression,USDT,random,fixed,full,0.9619047619047619,0.0,0.0,0.0,0.4545454545454546,0.008695652173913044,fitted,489,3,210,1,0.829,0.773,0.405,0.531
Random Forest,USDT,random,fixed,full,0.9952380952380953,0.0,0.0,0.0,0.9952153110047848,0.5,fitted,489,3,210,1,0.886,0.806,0.69,0.744
XGBoost,USDT,random,fixed,full,0.9952380952380953,0.5,1.0,0.6666666666666666,0.9999999999999999,1.0,fitted,489,3,210,1,0.897,0.8,0.762,0.78
Logistic Regression,USDT,chrono_2023,fixed,full,0.9065934065934066,0.029411764705882353,0.5,0.05555555555555555,0.6878453038674033,0.5043859649122807,fitted,335,2,364,2,0.829,0.773,0.405,0.531
Random Forest,USDT,chrono_2023,fixed,full,0.9945054945054945,0.0,0.0,0.0,0.9337016574585635,0.06666666666666667,fitted,335,2,364,2,0.886,0.806,0.69,0.744
XGBoost,USDT,chrono_2023,fixed,full,0.989010989010989,0.0,0.0,0.0,0.4972375690607735,0.005494505494505495,fitted,335,2,364,2,0.897,0.8,0.762,0.78
Logistic Regression,USDT,chrono_may,fixed,may,0.9814814814814815,0.0,0.0,0.0,0.5,0.018518518518518517,no positives in train,37,0,54,1,0.829,0.773,0.405,0.531
Random Forest,USDT,chrono_may,fixed,may,0.9814814814814815,0.0,0.0,0.0,0.5,0.018518518518518517,no positives in train,37,0,54,1,0.886,0.806,0.69,0.744
XGBoost,USDT,chrono_may,fixed,may,0.9814814814814815,0.0,0.0,0.0,0.5,0.018518518518518517,no positives in train,37,0,54,1,0.897,0.8,0.762,0.78
Logistic Regression,USDC,random,fixed,full,0.993421052631579,0.0,0.0,0.0,,,fitted,352,1,152,0,0.928,0.167,0.5,0.25
Random Forest,USDC,random,fixed,full,1.0,0.0,0.0,0.0,,,fitted,352,1,152,0,0.994,1.0,0.75,0.857
XGBoost,USDC,random,fixed,full,1.0,0.0,0.0,0.0,,,fitted,352,1,152,0,0.982,0.6,0.75,0.667
Logistic Regression,USDC,chrono_2023,fixed,full,1.0,0.0,0.0,0.0,,,fitted,239,1,265,0,0.928,0.167,0.5,0.25
Random Forest,USDC,chrono_2023,fixed,full,1.0,0.0,0.0,0.0,,,fitted,239,1,265,0,0.994,1.0,0.75,0.857
XGBoost,USDC,chrono_2023,fixed,full,1.0,0.0,0.0,0.0,,,fitted,239,1,265,0,0.982,0.6,0.75,0.667
Logistic Regression,USDC,chrono_may,fixed,may,0.9814814814814815,0.0,0.0,0.0,0.5,0.018518518518518517,no positives in train,37,0,54,1,0.928,0.167,0.5,0.25
Random Forest,USDC,chrono_may,fixed,may,0.9814814814814815,0.0,0.0,0.0,0.5,0.018518518518518517,no positives in train,37,0,54,1,0.994,1.0,0.75,0.857
XGBoost,USDC,chrono_may,fixed,may,0.9814814814814815,0.0,0.0,0.0,0.5,0.018518518518518517,no positives in train,37,0,54,1,0.982,0.6,0.75,0.667
Logistic Regression,BUSD,random,fixed,full,0.9951219512195122,0.5,1.0,0.6666666666666666,1.0,1.0,fitted,478,1,205,1,0.869,0.783,0.735,0.758
Random Forest,BUSD,random,fixed,full,0.9951219512195122,0.0,0.0,0.0,0.4877450980392157,0.004878048780487805,fitted,478,1,205,1,0.891,0.788,0.837,0.812
XGBoost,BUSD,random,fixed,full,0.9951219512195122,0.0,0.0,0.0,0.5,0.004878048780487805,fitted,478,1,205,1,0.88,0.792,0.776,0.784
Logistic Regression,BUSD,chrono_2023,fixed,full,0.9942528735632183,0.0,0.0,0.0,,,fitted,335,2,348,0,0.869,0.783,0.735,0.758
Random Forest,BUSD,chrono_2023,fixed,full,1.0,0.0,0.0,0.0,,,fitted,335,2,348,0,0.891,0.788,0.837,0.812
XGBoost,BUSD,chrono_2023,fixed,full,0.9942528735632183,0.0,0.0,0.0,,,fitted,335,2,348,0,0.88,0.792,0.776,0.784
Logistic Regression,BUSD,chrono_may,fixed,may,0.9814814814814815,0.0,0.0,0.0,0.5,0.018518518518518517,no positives in train,37,0,54,1,0.869,0.783,0.735,0.758
Random Forest,BUSD,chrono_may,fixed,may,0.9814814814814815,0.0,0.0,0.0,0.5,0.018518518518518517,no positives in train,37,0,54,1,0.891,0.788,0.837,0.812
